Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 8 workers.
2024-01-05_12:26:30:483 pEMG_processing started
2024-01-05_12:26:30:568 pEMG_save started
2024-01-05_12:26:34:052 pEMG_worker started
2024-01-05_12:26:34:237 pEEG_save started
2024-01-05_12:26:36:292 pEEG_processing started
2024-01-05_12:26:38:569 pEEG_worker started
2024-01-05_12:26:38:570 All processes started
2024-01-05_12:26:34:060 EMG Worker checking for start
2024-01-05_12:26:38:577 EMG Worker start command receieved
2024-01-05_12:26:38:577 EEG Save, receieved start command
2024-01-05_12:26:38:577 EMG Save, receieved start command
2024-01-05_12:26:38:580 EEG Worker, receieved start command
2024-01-05_12:26:38:623 EMG Processing, receieved start command
2024-01-05_12:26:38:609 EEG Processing, receieved start command
2024-01-05_12:26:39:300 EMG Worker, scans available for reading: 0
2024-01-05_12:26:39:359 EMG Worker, scans read: 0
2024-01-05_12:26:39:684 EMG Worker, scans read: 200
2024-01-05_12:26:39:701 EMG Worker, scans read: 200
2024-01-05_12:26:39:721 EEG Worker, Lost sample: 199
2024-01-05_12:26:39:724 EMG Worker, scans read: 200
2024-01-05_12:26:39:754 EMG Worker, scans read: 200
2024-01-05_12:26:39:761 EMG Worker, scans read: 200
2024-01-05_12:26:39:764 EMG Worker, scans read: 200
2024-01-05_12:26:39:767 EMG Worker, scans read: 200
2024-01-05_12:26:39:771 EMG Worker, scans read: 200
2024-01-05_12:26:39:774 EMG Worker, scans read: 200
2024-01-05_12:26:39:777 EMG Worker, scans read: 200
2024-01-05_12:26:39:779 EMG Worker, scans read: 200
2024-01-05_12:26:39:780 EMG Worker, scans read: 200
2024-01-05_12:26:39:782 EMG Worker, scans read: 200
2024-01-05_12:26:39:784 EMG Worker, scans read: 200
2024-01-05_12:26:39:786 EMG Worker, scans read: 200
2024-01-05_12:26:39:787 EMG Worker, scans read: 200
2024-01-05_12:26:39:789 EMG Worker, scans read: 200
2024-01-05_12:26:39:791 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:793 EMG Worker, scans read: 200
2024-01-05_12:26:39:794 EMG Worker, scans read: 200
2024-01-05_12:26:39:796 EMG Worker, scans read: 200
2024-01-05_12:26:39:799 EMG Worker, scans read: 200
2024-01-05_12:26:39:801 EMG Worker, scans read: 200
2024-01-05_12:26:39:803 EMG Worker, scans read: 200
2024-01-05_12:26:39:805 EMG Worker, scans read: 200
2024-01-05_12:26:39:807 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:809 EMG Worker, scans read: 200
2024-01-05_12:26:39:812 EMG Worker, scans read: 200
2024-01-05_12:26:39:814 EMG Worker, scans read: 200
2024-01-05_12:26:39:816 EMG Worker, scans read: 200
2024-01-05_12:26:39:818 EMG Worker, scans read: 200
2024-01-05_12:26:39:820 EMG Worker, scans read: 200
2024-01-05_12:26:39:823 EMG Worker, scans read: 200
2024-01-05_12:26:39:826 EMG Worker, scans read: 200
2024-01-05_12:26:39:828 EMG Worker, scans read: 200
2024-01-05_12:26:39:830 EMG Worker, scans read: 200
2024-01-05_12:26:39:833 EMG Worker, scans read: 200
2024-01-05_12:26:39:835 EMG Worker, scans read: 200
2024-01-05_12:26:39:837 EMG Worker, scans read: 200
2024-01-05_12:26:39:839 EMG Worker, scans read: 200
2024-01-05_12:26:39:841 EMG Worker, scans read: 200
2024-01-05_12:26:39:842 EMG Worker, scans read: 200
2024-01-05_12:26:39:844 EMG Worker, scans read: 200
2024-01-05_12:26:39:846 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:847 EMG Worker, scans read: 200
2024-01-05_12:26:39:849 EMG Worker, scans read: 200
2024-01-05_12:26:39:850 EMG Worker, scans read: 200
2024-01-05_12:26:39:852 EMG Worker, scans read: 200
2024-01-05_12:26:39:855 EMG Worker, scans read: 200
2024-01-05_12:26:39:857 EMG Worker, scans read: 200
2024-01-05_12:26:39:858 EMG Worker, scans read: 200
2024-01-05_12:26:39:860 EMG Worker, scans read: 200
2024-01-05_12:26:39:862 EMG Worker, scans read: 200
Stop turning
2024-01-05_12:26:39:864 EMG Worker, scans read: 200
2024-01-05_12:26:39:865 EMG Worker, scans read: 200
2024-01-05_12:26:39:867 EMG Worker, scans read: 200
2024-01-05_12:26:39:869 EMG Worker, scans read: 200
2024-01-05_12:26:39:870 EMG Worker, scans read: 200
2024-01-05_12:26:39:872 EMG Worker, scans read: 200
2024-01-05_12:26:39:873 EMG Worker, scans read: 200
2024-01-05_12:26:39:875 EMG Worker, scans read: 200
2024-01-05_12:26:39:877 EMG Worker, scans read: 200
stop
2024-01-05_12:26:39:878 EMG Worker, scans read: 200
2024-01-05_12:26:39:880 EMG Worker, scans read: 200
